"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 29 09:37:43 UTC 2025","Mon Sep 29 09:37:49 UTC 2025","6114","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testEmptyUsername","testEmptyUsername()","Verify login fails with empty username"
"failed","Mon Sep 29 09:39:40 UTC 2025","Mon Sep 29 09:39:46 UTC 2025","6099","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testSubmitWithAllEmptyFields","testSubmitWithAllEmptyFields()","Attempt to submit form with all fields empty"
"failed","Mon Sep 29 09:37:24 UTC 2025","Mon Sep 29 09:37:30 UTC 2025","6157","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testValidLogin","testValidLogin()","Verify successful login with valid credentials"
"failed","Mon Sep 29 09:39:28 UTC 2025","Mon Sep 29 09:39:34 UTC 2025","5947","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testSubmitWithoutName","testSubmitWithoutName()","Attempt to submit message with missing name"
"failed","Mon Sep 29 09:40:13 UTC 2025","Mon Sep 29 09:40:24 UTC 2025","11537","","Homepage","","Homepage loads and shows product list","","Homepage loads and shows product list","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"passed","Mon Sep 29 09:38:54 UTC 2025","Mon Sep 29 09:38:54 UTC 2025","853","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testCategoriesSectionVisible","testCategoriesSectionVisible()","Verify categories section is visible"
"failed","Mon Sep 29 09:38:07 UTC 2025","Mon Sep 29 09:38:13 UTC 2025","6091","","com.ecommerce.tests.LoginTest","","com.ecommerce.tests.LoginTest","testXSSLogin","testXSSLogin()","Verify login fails with XSS attempt"
"passed","Mon Sep 29 09:40:24 UTC 2025","Mon Sep 29 09:40:26 UTC 2025","1587","","Homepage","","Navigate to product detail page","","Navigate to product detail page","  As a Customer
  I want to access the Product Store homepage
  So that I can browse available products"
"passed","Mon Sep 29 09:39:02 UTC 2025","Mon Sep 29 09:39:03 UTC 2025","1073","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testFirstPageLoadsMaxNineProducts","testFirstPageLoadsMaxNineProducts()","Verify the first page loads a maximum of 9 products"
"failed","Mon Sep 29 09:36:14 UTC 2025","Mon Sep 29 09:36:21 UTC 2025","6191","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testShortUsernameAndPassword","testShortUsernameAndPassword()","Verify signup fails with too short username and password"
"failed","Mon Sep 29 09:37:13 UTC 2025","Mon Sep 29 09:37:19 UTC 2025","6094","","com.ecommerce.tests.CartPageTest","","com.ecommerce.tests.CartPageTest","testPlaceOrderButtonIsVisible","testPlaceOrderButtonIsVisible()","Verify that 'Place Order' button is visible on cart page"
"passed","Mon Sep 29 09:36:46 UTC 2025","Mon Sep 29 09:36:49 UTC 2025","3088","","com.ecommerce.tests.OrderPageTest","","com.ecommerce.tests.OrderPageTest","testOrderModalIsDisplayed","testOrderModalIsDisplayed()","Verify that the order modal is displayed when 'Place Order' button is clicked"
"failed","Mon Sep 29 09:39:58 UTC 2025","Mon Sep 29 09:40:04 UTC 2025","6183","","com.ecommerce.tests.ContactPageTest","","com.ecommerce.tests.ContactPageTest","testCloseModalWithCloseIcon","testCloseModalWithCloseIcon()","Verify the Contact modal can be closed with the top-right X icon"
"failed","Mon Sep 29 09:39:09 UTC 2025","Mon Sep 29 09:39:10 UTC 2025","1076","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testPreviousButtonHiddenOnFirstPage","testPreviousButtonHiddenOnFirstPage()","Verify Previous button is hidden on the first page"
"failed","Mon Sep 29 09:36:02 UTC 2025","Mon Sep 29 09:36:08 UTC 2025","6268","","com.ecommerce.tests.SignupTest","","com.ecommerce.tests.SignupTest","testLongUsername","testLongUsername()","Verify signup fails with very long username"
"passed","Mon Sep 29 09:40:07 UTC 2025","Mon Sep 29 09:40:10 UTC 2025","2546","","Shopping Cart","","Delete a product from cart","","Delete a product from cart","  As a customer
  I want to manage products in my cart
  So that I can review or remove items before purchase"
"passed","Mon Sep 29 09:38:59 UTC 2025","Mon Sep 29 09:39:00 UTC 2025","1629","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testEachProductHasTitleAndPrice","testEachProductHasTitleAndPrice()","Verify each product card has a title and a price"
"passed","Mon Sep 29 09:40:32 UTC 2025","Mon Sep 29 09:40:36 UTC 2025","3693","","Place Order (Checkout)","","Place order with valid details","","Place order with valid details","  As a Customer
  I want to place an order
  So that I receive a confirmation of my purchase"
"passed","Mon Sep 29 09:38:56 UTC 2025","Mon Sep 29 09:38:56 UTC 2025","911","","com.ecommerce.tests.HomePageTest","","com.ecommerce.tests.HomePageTest","testSelectLaptopsCategory","testSelectLaptopsCategory()","Verify Laptops category filters products correctly"
"passed","Mon Sep 29 09:40:39 UTC 2025","Mon Sep 29 09:40:42 UTC 2025","2762","","Place Order (Checkout)","","Try to place order with missing credit card","","Try to place order with missing credit card","  As a Customer
  I want to place an order
  So that I receive a confirmation of my purchase"
